CAXVPN010000018.1:17911752-17912590	CAXVPN010000018.1:17911752-17912590
CAXVPN010000018.1:17911752-17912590	CAXVPC010000024.1:15429658-15430495
CAXVPN010000030.1:3820829-3821201	CAXVPN010000030.1:3820829-3821201
CAXVPN010000030.1:3820829-3821201	OZ179786.1:4041900-4042272
CAXVPN010000030.1:3820829-3821201	HG992189.1:3783656-3783927
CAXVPN010000030.1:3820829-3821201	JAUPFZ010000018.1:16374315-16374518
CAXVPN010000030.1:3820829-3821201	JAUPGA010000016.1:16174302-16174505
CAXVQE010000021.1:2984492-2984636	CAXVQE010000021.1:2984492-2984636
CAXVQE010000021.1:2984492-2984636	OZ179984.1:3042014-3042158
CAXVQF010000004.1:5348208-5348386	CAXVQF010000004.1:5348208-5348386
CAXVQF010000004.1:5348208-5348386	OZ179871.1:5358732-5358906
CAXVQF010000021.1:7135507-7135681	CAXVQF010000021.1:7135507-7135681
CAXVQF010000021.1:7135507-7135681	OZ179890.1:7264234-7264408
CAXVQR010000026.1:337691-338254	CAXVQR010000026.1:337691-338254
CAXVXB010000020.1:10659298-10659693	CAXVXB010000020.1:10659298-10659693
CAXVXB010000020.1:10659298-10659693	OZ182002.1:10529135-10529530
CAXVXJ010000004.1:29369434-29370543	CAXVXJ010000004.1:29369434-29370543
CAXVXJ010000004.1:29369434-29370543	OU342962.1:3573257-3574250
CAXVXJ010000004.1:29369434-29370543	OU342973.1:26891687-26892680
CAXVXJ010000004.1:29369434-29370543	OU342981.1:3669924-3670917
CAXVXJ010000004.1:29369434-29370543	OZ183561.1:20473118-20474111
CAXVXJ010000004.1:29369434-29370543	OZ183562.1:18236124-18237117
CAXVXJ010000004.1:29369434-29370543	OU342964.1:3738830-3739823
CAXVXJ010000004.1:29369434-29370543	OU342968.1:3498730-3499719
CAXVXJ010000004.1:29369434-29370543	OU342968.1:3571186-3572173
CAXVXJ010000004.1:29369434-29370543	OU342968.1:5774444-5775440
CAXVXJ010000004.1:29369434-29370543	OU342983.1:11168491-11169486
CAXVXJ010000004.1:29369434-29370543	OU342963.1:13624047-13625041
CAXVXJ010000004.1:29369434-29370543	OU342968.1:3646859-3647853
CAXVXJ010000004.1:29369434-29370543	OU342984.1:19637086-19638079
CAXVXJ010000004.1:29369434-29370543	CAXWAB010000011.1:11783452-11784446
CAXVXJ010000004.1:29369434-29370543	OU426948.1:28660746-28661598
